loc,pm
loc1,10.259861042484232
loc2,27.409448146648266
loc3,29.97720718630224
loc4,10.029731119011675
loc5,14.052798684357782
loc6,17.081046786221755
loc7,28.369694995108727
loc8,22.766131035993247
loc9,33.23741288033187
loc10,26.75221683383964
loc11,12.706259430288071
loc12,38.688744742192526
loc13,32.92931048083315
loc14,45.922920187276084
loc15,9.772744947293202
loc16,53.179778308309075
loc17,47.86899881095029
loc18,24.379476779994977
loc19,62.80388822971769
loc20,43.33417809125323
loc21,15.842530001674241
loc22,8.510882162533118
loc23,9.841270762040564
loc24,22.289550025148017
loc25,19.72884762014308
loc26,35.41524164084468
loc27,15.935869555647374
loc28,17.044166164407702
loc29,42.193650086043554
loc30,11.650056713030127
loc31,15.41903666978217
loc32,14.925983799510716
loc33,7.393063341857737
loc34,23.29122228619803
loc35,21.874304250416518
loc36,49.790597431296696
loc37,14.43561544316128
loc38,18.7252715132586
loc39,16.248660041996683
loc40,19.700265494641584
loc41,19.796972856270337
loc42,24.447273302485783
loc43,17.72884616029845
loc44,20.941338138609954
loc45,56.79437600205908
loc46,21.33664253472704
loc47,21.30783233127111
loc48,29.51879292769392
loc49,11.159585326591587
loc50,24.643650468819118
loc51,14.40426845640002
loc52,17.66769123773117
loc53,28.20194857613279
loc54,31.450733957865847
loc55,27.362630052639567
loc56,28.95453591397163
loc57,16.336677165510828
loc58,43.76815792116223
loc59,26.333697920862786
loc60,26.804646070337668
loc61,6.5054820508098645
loc62,12.292262125315155
loc63,18.168984753442903
loc64,31.43635719659614
loc65,19.65295181001958
loc66,45.77114971662209
loc67,43.888385296101376
loc68,9.81891695809218
loc69,15.297706250337782
loc70,13.658652973168122
loc71,18.448923146993643
loc72,19.680318047746194
loc73,8.497141934334714
loc74,41.349202214519785
loc75,19.885536700323872
loc76,22.991303545513148
loc77,18.982795593712297
loc78,13.09926467379979
loc79,11.978692602464356
loc80,22.443775427271035
loc81,11.707843660312864
loc82,16.107951798556133
loc83,55.16437662901261
loc84,20.830707999676516
loc85,28.62866972449109
loc86,30.730470972782225
loc87,9.553441303024758
loc88,31.825405949338784
loc89,21.631798851305966
loc90,17.842194000308627
loc91,15.85336694930975
loc92,14.373654008447904
loc93,39.61719904462325
loc94,40.709399370216154
loc95,13.92398810650927
loc96,19.29264705320117
loc97,30.117259445949784
loc98,25.82372817631102
loc99,35.23399275249702
loc100,18.43701087849412
loc101,21.307852505392322
loc102,31.029901731552666
loc103,19.18314247497054
loc104,20.789527908661846
loc105,8.660622681619051
loc106,35.10971149949483
loc107,10.219740705582707
loc108,15.354625145761624
loc109,16.692227547638765
loc110,23.9748679317842
loc111,13.39775770612417
loc112,18.359326206094156
loc113,11.315462767657522
loc114,21.075709980631583
loc115,30.185149093350244
loc116,32.83419056414057
loc117,30.73560457690763
loc118,36.732933511644504
loc119,9.80714131239609
loc120,11.582868577739355
loc121,17.487369735909002
loc122,14.575154971883347
loc123,30.82843225641902
loc124,23.498150761281433
loc125,37.01158750046242
loc126,11.436800078861564
loc127,22.604493316933393
loc128,10.631435463417674
loc129,23.519769981850864
loc130,23.994033416947957
loc131,20.12627286195111
loc132,35.680247453251866
loc133,15.66913466865259
loc134,13.826703240054771
loc135,10.576307755627607
loc136,11.990493933669947
loc137,7.127614797556881
loc138,16.231704852258247
loc139,13.619630671445483
loc140,18.340173026973098
