loc,popgroup,pop_frac,pm,cdf_popenv_by_popgrp,pmf_popenv_by_popgrp
loc61,1,1.9590417865772263e-7,6.5054820508098645,0.025092076524172276,0.025092076524172276
loc137,1,4.633280852080148e-45,7.127614797556881,0.025092076524172276,5.934464414947498e-40
loc33,1,1.1329060058321679e-7,7.393063341857737,0.03960272371291947,0.014510647188747198
loc73,1,1.1556312328578448e-8,8.497141934334714,0.041082895678993536,0.0014801719660740636
loc22,1,1.0930986505856346e-8,8.510882162533118,0.042482973777219595,0.0014000780982260565
loc105,1,8.308845918600568e-17,8.660622681619051,0.042482973787861845,1.0642253730653811e-11
loc87,1,1.0635319509926087e-11,9.553441303024758,0.042484335995921066,1.3622080592182812e-6
loc15,1,4.899865290744714e-10,9.772744947293202,0.042547095144641583,6.27591487205142e-5
loc119,1,9.686394678694945e-26,9.80714131239609,0.042547095144641583,1.2406665247595395e-20
loc68,1,8.35686368537455e-8,9.81891695809218,0.053250851671543434,0.010703756526901854
loc23,1,1.6869524596154344e-8,9.841270762040564,0.05541155801784691,0.0021607063463034756
loc4,1,3.922878699014645e-12,10.029731119011675,0.055412060473553494,5.024557065865352e-7
loc107,1,3.7032061384321164e-18,10.219740705582709,0.055412060474027816,4.743192944989292e-13
loc1,1,1.270575377625238e-12,10.259861042484232,0.0554122232136632,1.6273963538472373e-7
loc135,1,6.646927733015047e-38,10.576307755627608,0.0554122232136632,8.513612137843072e-33
loc128,1,3.5673611321868154e-30,10.631435463417674,0.0554122232136632,4.569198019741209e-25
loc49,1,2.928645586612136e-7,11.159585326591587,0.09292331648127701,0.03751109326761381
loc113,1,3.779427031614983e-20,11.315462767657522,0.09292331648128185,4.8408192691233355e-15
loc126,1,2.4672444397072283e-28,11.436800078861564,0.09292331648128185,3.160130973680579e-23
loc120,1,3.515016871234292e-26,11.582868577739356,0.09292331648128185,4.502153701931289e-21
loc30,1,5.2089717490651e-8,11.650056713030128,0.09959514546600987,0.006671828984728018
loc81,1,2.788090787954889e-10,11.707843660312864,0.09963085628539466,3.571081938478398e-5
loc79,1,6.684363376839472e-10,11.978692602464356,0.09971647189528936,8.561560989470954e-5
loc136,1,1.601766964167143e-39,11.990493933669947,0.09971647189528936,2.0515978533053456e-34
loc62,1,1.7160119325751815e-7,12.292262125315156,0.12169573901638496,0.021979267121095596
loc11,1,9.314654968372577e-11,12.706259430288071,0.1217076695447108,1.1930528325841439e-5
loc78,1,1.3158177294839234e-9,13.09926467379979,0.12187620397509556,1.6853443038475837e-4
loc111,1,3.629313568075757e-19,13.39775770612417,0.12187620397514204,4.648548816280378e-14
