popgroup,popenv_mean_in_bound,popenv_mean_by_popgrp_in_bound,teb_by_popgrp
1,45.04030525390167,49.073960102562964,0.08955656108285082
2,45.04030525390167,48.25987056405925,0.07148187144843288
3,45.04030525390167,47.26336831887345,0.049357193572288294
4,45.04030525390167,46.36200643652354,0.02934485401844311
5,45.04030525390167,45.663428429536026,0.013834790242243766
6,45.04030525390167,45.16779522551481,0.002830575212455777
7,45.04030525390167,44.83671443933398,-0.004520191713177857
8,45.04030525390167,44.633288521339374,-0.00903672233720132
9,45.04030525390167,44.5384321051266,-0.011142756381110286
10,45.04030525390167,44.553714074327736,-0.010803460963040079
11,45.04030525390167,44.69453909527794,-0.00767681650189922
12,45.04030525390167,44.97193755241337,-0.0015179226939714408
13,45.04030525390167,45.363110447420794,0.007167029435067196
14,45.04030525390167,45.784054614838716,0.016512973363399075
15,45.04030525390167,46.09210616851249,0.023352437526379832
16,45.04030525390167,46.13375846686033,0.024277215857988255
17,45.04030525390167,45.80917401655066,0.017070682765463197
18,45.04030525390167,45.103130274185986,0.0013948622224062568
19,45.04030525390167,44.06704227985287,-0.02160871176521373
20,45.04030525390167,42.78004079507475,-0.05018315142593588
21,45.04030525390167,41.32309326939008,-0.0825307902234873
